settlement-id,settlement-start-date,settlement-end-date,deposit-date,total-amount,currency,transaction-type,order-id,merchant-order-id,adjustment-id,shipment-id,marketplace-name,amount-type,amount-description,amount,fulfillment-id,posted-date,posted-date-time,order-item-code,merchant-order-item-id,merchant-adjustment-item-id,sku,quantity-purchased,promotion-id
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-1112223-3344556,,,,Amazon.in,ItemPrice,Principal,899.00,AFN,03.01.2026,,SKU-PHONE-001,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-1112223-3344556,,,,Amazon.in,ItemFees,FBAPerUnitFulfillmentFee,-55.00,AFN,03.01.2026,,SKU-PHONE-001,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-1112223-3344556,,,,Amazon.in,ItemFees,Commission,-134.85,AFN,03.01.2026,,SKU-PHONE-001,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-2223334-4455667,,,,Amazon.in,ItemPrice,Principal,2499.00,AFN,05.01.2026,,SKU-EARBUDS-002,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-2223334-4455667,,,,Amazon.in,ItemFees,FBAPerUnitFulfillmentFee,-78.00,AFN,05.01.2026,,SKU-EARBUDS-002,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-2223334-4455667,,,,Amazon.in,ItemFees,Commission,-374.85,AFN,05.01.2026,,SKU-EARBUDS-002,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-3334445-5566778,,,,Amazon.in,ItemPrice,Principal,1299.00,AFN,07.01.2026,,SKU-CHARGER-003,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-3334445-5566778,,,,Amazon.in,ItemFees,FBAPerUnitFulfillmentFee,-55.00,AFN,07.01.2026,,SKU-CHARGER-003,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-3334445-5566778,,,,Amazon.in,ItemFees,Commission,-194.85,AFN,07.01.2026,,SKU-CHARGER-003,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-4445556-6677889,,,,Amazon.in,ItemPrice,Principal,1899.00,AFN,09.01.2026,,SKU-STAND-004,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Order,407-4445556-6677889,,,,Amazon.in,ItemFees,FBAPerUnitFulfillmentFee,-101.00,AFN,09.01.2026,,SKU-STAND-004,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Refund,407-1112223-3344557,,,,Amazon.in,ItemPrice,Principal,-899.00,AFN,12.01.2026,,SKU-PHONE-001,,,,1,
16620987654,01.01.2026,15.01.2026,17.01.2026,45280.50,INR,Refund,407-1112223-3344557,,,,Amazon.in,ItemFees,FBAPerUnitFulfillmentFee,55.00,AFN,12.01.2026,,SKU-PHONE-001,,,,1,
